movieId,title,genres,clean_title
59,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery,confessional the le confessionnal
60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,indian in the cupboard the
61,Eye for an Eye (1996),Drama|Thriller,eye for an eye
62,Mr. Holland's Opus (1995),Drama,mr hollands opus
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,dont be a menace to south central while drinking your juice in the hood
64,Two if by Sea (1996),Comedy|Romance,two if by sea
65,Bio-Dome (1996),Comedy,biodome
66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,lawnmower man 2 beyond cyberspace
67,Two Bits (1995),Drama,two bits
68,French Twist (Gazon maudit) (1995),Comedy|Romance,french twist gazon maudit
69,Friday (1995),Comedy,friday
70,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,from dusk till dawn
71,Fair Game (1995),Action,fair game
72,Kicking and Screaming (1995),Comedy|Drama,kicking and screaming
73,"Misérables, Les (1995)",Drama|Musical,misrables les
74,Bed of Roses (1996),Drama|Romance,bed of roses
75,Big Bully (1996),Comedy|Drama,big bully
76,Screamers (1995),Sci-Fi|Thriller,screamers
77,Nico Icon (1995),Documentary,nico icon
78,"Crossing Guard, The (1995)",Drama,crossing guard the
79,"Juror, The (1996)",Drama|Thriller,juror the
80,"White Balloon, The (Badkonake Sefid ) (1995)",Drama,white balloon the badkonake sefid
81,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance,things to do in denver when youre dead
82,Antonia's Line (Antonia) (1995),Drama,antonias line antonia
83,Once Upon a Time... When We Were Colored (1995),Drama,once upon a time when we were colored
84,Last Summer in the Hamptons (1995),Comedy|Drama,last summer in the hamptons
85,Angels and Insects (1995),Drama|Romance,angels and insects
86,White Squall (1996),Adventure|Drama,white squall
87,Dunston Checks In (1996),Children's|Comedy,dunston checks in
88,Black Sheep (1996),Comedy,black sheep
89,Nick of Time (1995),Action|Thriller,nick of time
90,"Journey of August King, The (1995)",Drama,journey of august king the
92,Mary Reilly (1996),Drama|Thriller,mary reilly
93,Vampire in Brooklyn (1995),Comedy|Romance,vampire in brooklyn
94,Beautiful Girls (1996),Drama,beautiful girls
95,Broken Arrow (1996),Action|Thriller,broken arrow
96,In the Bleak Midwinter (1995),Comedy,in the bleak midwinter
97,"Hate (Haine, La) (1995)",Drama,hate haine la
98,Shopping (1994),Action|Thriller,shopping
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,heidi fleiss hollywood madam
100,City Hall (1996),Drama|Thriller,city hall
101,Bottle Rocket (1996),Comedy,bottle rocket
102,Mr. Wrong (1996),Comedy,mr wrong
103,Unforgettable (1996),Thriller,unforgettable
104,Happy Gilmore (1996),Comedy,happy gilmore
105,"Bridges of Madison County, The (1995)",Drama|Romance,bridges of madison county the
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,nobody loves me keiner liebt mich
107,Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical,muppet treasure island
108,Catwalk (1995),Documentary,catwalk
109,Headless Body in Topless Bar (1995),Comedy,headless body in topless bar
110,Braveheart (1995),Action|Drama|War,braveheart
111,Taxi Driver (1976),Drama|Thriller,taxi driver
112,Rumble in the Bronx (1995),Action|Adventure|Crime,rumble in the bronx
113,Before and After (1996),Drama|Mystery,before and after
114,Margaret's Museum (1995),Drama,margarets museum
115,Happiness Is in the Field (1995),Comedy,happiness is in the field
116,Anne Frank Remembered (1995),Documentary,anne frank remembered
117,"Young Poisoner's Handbook, The (1995)",Crime,young poisoners handbook the
118,If Lucy Fell (1996),Comedy|Romance,if lucy fell
119,"Steal Big, Steal Little (1995)",Comedy,steal big steal little
120,Race the Sun (1996),Drama,race the sun
121,"Boys of St. Vincent, The (1993)",Drama,boys of st vincent the
122,Boomerang (1992),Comedy|Romance,boomerang
123,Chungking Express (1994),Drama|Mystery|Romance,chungking express
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,star maker the uomo delle stelle l
125,Flirting With Disaster (1996),Comedy,flirting with disaster
126,"NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy,neverending story iii the
127,"Silence of the Palace, The (Saimt el Qusur) (1994)",Drama,silence of the palace the saimt el qusur
128,Jupiter's Wife (1994),Documentary,jupiters wife
129,Pie in the Sky (1995),Comedy|Romance,pie in the sky
130,Angela (1995),Drama,angela
131,Frankie Starlight (1995),Drama|Romance,frankie starlight
132,Jade (1995),Thriller,jade
133,Nueba Yol (1995),Comedy|Drama,nueba yol
134,Sonic Outlaws (1995),Documentary,sonic outlaws
135,Down Periscope (1996),Comedy,down periscope
136,From the Journals of Jean Seberg (1995),Documentary,from the journals of jean seberg
137,Man of the Year (1995),Documentary,man of the year
138,"Neon Bible, The (1995)",Drama,neon bible the
139,Target (1995),Action|Drama,target
140,Up Close and Personal (1996),Drama|Romance,up close and personal
141,"Birdcage, The (1996)",Comedy,birdcage the
142,Shadows (Cienie) (1988),Drama,shadows cienie
143,Gospa (1995),Drama,gospa
144,"Brothers McMullen, The (1995)",Comedy,brothers mcmullen the
145,Bad Boys (1995),Action,bad boys
146,"Amazing Panda Adventure, The (1995)",Adventure|Children's,amazing panda adventure the
147,"Basketball Diaries, The (1995)",Drama,basketball diaries the
148,"Awfully Big Adventure, An (1995)",Drama,awfully big adventure an
149,Amateur (1994),Crime|Drama|Thriller,amateur
150,Apollo 13 (1995),Drama,apollo 13
151,Rob Roy (1995),Drama|Romance|War,rob roy
152,"Addiction, The (1995)",Horror,addiction the
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,batman forever
154,Belle de jour (1967),Drama,belle de jour
155,Beyond Rangoon (1995),Drama|War,beyond rangoon
156,Blue in the Face (1995),Comedy,blue in the face
157,Canadian Bacon (1994),Comedy|War,canadian bacon
158,Casper (1995),Adventure|Children's,casper
159,Clockers (1995),Drama,clockers
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,congo
161,Crimson Tide (1995),Drama|Thriller|War,crimson tide
162,Crumb (1994),Documentary,crumb
163,Desperado (1995),Action|Romance|Thriller,desperado
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,devil in a blue dress
165,Die Hard: With a Vengeance (1995),Action|Thriller,die hard with a vengeance
166,"Doom Generation, The (1995)",Comedy|Drama,doom generation the
167,Feast of July (1995),Drama,feast of july
168,First Knight (1995),Action|Adventure|Drama|Romance,first knight
169,Free Willy 2: The Adventure Home (1995),Adventure|Children's|Drama,free willy 2 the adventure home
170,Hackers (1995),Action|Crime|Thriller,hackers
171,Jeffrey (1995),Comedy,jeffrey
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,johnny mnemonic
173,Judge Dredd (1995),Action|Adventure|Sci-Fi,judge dredd
174,Jury Duty (1995),Comedy,jury duty
175,Kids (1995),Drama,kids
176,Living in Oblivion (1995),Comedy,living in oblivion
177,Lord of Illusions (1995),Horror,lord of illusions
178,Love & Human Remains (1993),Comedy,love  human remains
179,Mad Love (1995),Drama|Romance,mad love
180,Mallrats (1995),Comedy,mallrats
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children's,mighty morphin power rangers the movie
182,Moonlight and Valentino (1995),Drama|Romance,moonlight and valentino
183,Mute Witness (1994),Thriller,mute witness
184,Nadja (1994),Drama,nadja
185,"Net, The (1995)",Sci-Fi|Thriller,net the
186,Nine Months (1995),Comedy,nine months
187,Party Girl (1995),Comedy,party girl
188,"Prophecy, The (1995)",Horror,prophecy the
189,Reckless (1995),Comedy,reckless
190,Safe (1995),Thriller,safe
191,"Scarlet Letter, The (1995)",Drama,scarlet letter the
192,"Show, The (1995)",Documentary,show the
193,Showgirls (1995),Drama,showgirls
194,Smoke (1995),Drama,smoke
195,Something to Talk About (1995),Comedy|Drama|Romance,something to talk about
196,Species (1995),Horror|Sci-Fi,species
197,"Stars Fell on Henrietta, The (1995)",Drama,stars fell on henrietta the
198,Strange Days (1995),Action|Crime|Sci-Fi,strange days
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical,umbrellas of cherbourg the parapluies de cherbourg les
200,"Tie That Binds, The (1995)",Thriller,tie that binds the
201,Three Wishes (1995),Drama,three wishes
202,Total Eclipse (1995),Drama|Romance,total eclipse
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,to wong foo thanks for everything julie newmar
204,Under Siege 2: Dark Territory (1995),Action,under siege 2 dark territory
205,Unstrung Heroes (1995),Comedy|Drama,unstrung heroes
206,Unzipped (1995),Documentary,unzipped
207,"Walk in the Clouds, A (1995)",Drama|Romance,walk in the clouds a
208,Waterworld (1995),Action|Adventure,waterworld
209,White Man's Burden (1995),Drama,white mans burden
210,Wild Bill (1995),Western,wild bill
211,"Browning Version, The (1994)",Drama,browning version the
212,Bushwhacked (1995),Comedy,bushwhacked
213,Burnt By the Sun (Utomlyonnye solntsem) (1994),Drama,burnt by the sun utomlyonnye solntsem
214,Before the Rain (Pred dozhdot) (1994),Drama,before the rain pred dozhdot
215,Before Sunrise (1995),Drama|Romance,before sunrise
216,Billy Madison (1995),Comedy,billy madison
217,"Babysitter, The (1995)",Drama|Thriller,babysitter the
218,Boys on the Side (1995),Comedy|Drama,boys on the side
219,"Cure, The (1995)",Drama,cure the
220,Castle Freak (1995),Horror,castle freak
222,Circle of Friends (1995),Drama|Romance,circle of friends
223,Clerks (1994),Comedy,clerks
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,don juan demarco
225,Disclosure (1994),Drama|Thriller,disclosure
226,Dream Man (1995),Thriller,dream man
227,Drop Zone (1994),Action,drop zone
228,Destiny Turns on the Radio (1995),Comedy,destiny turns on the radio
229,Death and the Maiden (1994),Drama|Thriller,death and the maiden
230,Dolores Claiborne (1994),Drama|Thriller,dolores claiborne
231,Dumb & Dumber (1994),Comedy,dumb  dumber
232,Eat Drink Man Woman (1994),Comedy|Drama,eat drink man woman
233,Exotica (1994),Drama,exotica
234,Exit to Eden (1994),Comedy,exit to eden
235,Ed Wood (1994),Comedy|Drama,ed wood
236,French Kiss (1995),Comedy|Romance,french kiss
237,Forget Paris (1995),Comedy|Romance,forget paris
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children's,far from home the adventures of yellow dog
239,"Goofy Movie, A (1995)",Animation|Children's|Comedy|Romance,goofy movie a
240,Hideaway (1995),Thriller,hideaway
241,Fluke (1995),Children's|Drama,fluke
242,Farinelli: il castrato (1994),Drama|Musical,farinelli il castrato
243,Gordy (1995),Comedy,gordy
244,Gumby: The Movie (1995),Animation|Children's,gumby the movie
245,"Glass Shield, The (1994)",Crime|Drama,glass shield the
246,Hoop Dreams (1994),Documentary,hoop dreams
247,Heavenly Creatures (1994),Drama|Fantasy|Romance|Thriller,heavenly creatures
248,Houseguest (1994),Comedy,houseguest
249,Immortal Beloved (1994),Drama|Romance,immortal beloved
250,Heavyweights (1994),Children's|Comedy,heavyweights
251,"Hunted, The (1995)",Action,hunted the
252,I.Q. (1994),Comedy|Romance,iq
253,Interview with the Vampire (1994),Drama|Horror,interview with the vampire
254,Jefferson in Paris (1995),Drama,jefferson in paris
255,"Jerky Boys, The (1994)",Comedy,jerky boys the
256,Junior (1994),Comedy|Sci-Fi,junior
257,Just Cause (1995),Mystery|Thriller,just cause
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children's|Comedy|Fantasy|Romance,kid in king arthurs court a
259,Kiss of Death (1995),Crime|Drama|Thriller,kiss of death
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,star wars episode iv  a new hope
261,Little Women (1994),Drama,little women
262,"Little Princess, A (1995)",Children's|Drama,little princess a
263,Ladybird Ladybird (1994),Drama,ladybird ladybird
264,"Enfer, L' (1994)",Drama,enfer l
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Romance,like water for chocolate como agua para chocolate
266,Legends of the Fall (1994),Drama|Romance|War|Western,legends of the fall
267,Major Payne (1994),Comedy,major payne
268,Little Odessa (1994),Drama,little odessa
269,My Crazy Life (Mi vida loca) (1993),Drama,my crazy life mi vida loca
270,Love Affair (1994),Drama|Romance,love affair
271,Losing Isaiah (1995),Drama,losing isaiah
272,"Madness of King George, The (1994)",Drama,madness of king george the
273,Mary Shelley's Frankenstein (1994),Drama|Horror,mary shelleys frankenstein
274,Man of the House (1995),Comedy,man of the house
275,Mixed Nuts (1994),Comedy,mixed nuts
276,Milk Money (1994),Comedy|Romance,milk money
277,Miracle on 34th Street (1994),Drama,miracle on 34th street
278,Miami Rhapsody (1995),Comedy,miami rhapsody
279,My Family (1995),Drama,my family
280,Murder in the First (1995),Drama|Thriller,murder in the first
281,Nobody's Fool (1994),Drama,nobodys fool
282,Nell (1994),Drama,nell
283,New Jersey Drive (1995),Crime|Drama,new jersey drive
284,New York Cop (1996),Action|Crime,new york cop
285,Beyond Bedlam (1993),Drama|Horror,beyond bedlam
286,Nemesis 2: Nebula (1995),Action|Sci-Fi|Thriller,nemesis 2 nebula
287,Nina Takes a Lover (1994),Comedy|Romance,nina takes a lover
288,Natural Born Killers (1994),Action|Thriller,natural born killers
289,Only You (1994),Comedy|Romance,only you
290,Once Were Warriors (1994),Crime|Drama,once were warriors
291,Poison Ivy II (1995),Thriller,poison ivy ii
292,Outbreak (1995),Action|Drama|Thriller,outbreak
293,"Professional, The (a.k.a. Leon: The Professional) (1994)",Crime|Drama|Romance|Thriller,professional the aka leon the professional
294,"Perez Family, The (1995)",Comedy|Romance,perez family the
295,"Pyromaniac's Love Story, A (1995)",Comedy|Romance,pyromaniacs love story a
296,Pulp Fiction (1994),Crime|Drama,pulp fiction
297,Panther (1995),Drama,panther
298,Pushing Hands (1992),Comedy,pushing hands
299,Priest (1994),Drama,priest
300,Quiz Show (1994),Drama,quiz show
301,Picture Bride (1995),Drama|Romance,picture bride
302,Queen Margot (La Reine Margot) (1994),Drama|Romance,queen margot la reine margot
303,"Quick and the Dead, The (1995)",Action|Adventure|Western,quick and the dead the
304,Roommates (1995),Comedy|Drama,roommates
305,Ready to Wear (Pret-A-Porter) (1994),Comedy,ready to wear pretaporter
306,Three Colors: Red (1994),Drama,three colors red
307,Three Colors: Blue (1993),Drama,three colors blue
308,Three Colors: White (1994),Drama,three colors white
309,"Red Firecracker, Green Firecracker (1994)",Drama,red firecracker green firecracker
310,Rent-a-Kid (1995),Comedy,rentakid
311,Relative Fear (1994),Horror|Thriller,relative fear
312,Stuart Saves His Family (1995),Comedy,stuart saves his family
313,"Swan Princess, The (1994)",Animation|Children's,swan princess the
314,"Secret of Roan Inish, The (1994)",Drama,secret of roan inish the
315,"Specialist, The (1994)",Action,specialist the
316,Stargate (1994),Action|Adventure|Sci-Fi,stargate
317,"Santa Clause, The (1994)",Children's|Comedy|Fantasy,santa clause the
318,"Shawshank Redemption, The (1994)",Drama,shawshank redemption the
319,Shallow Grave (1994),Thriller,shallow grave
320,Suture (1993),Film-Noir|Thriller,suture
321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,strawberry and chocolate fresa y chocolate
322,Swimming with Sharks (1995),Comedy|Drama,swimming with sharks
324,"Sum of Us, The (1994)",Comedy,sum of us the
325,National Lampoon's Senior Trip (1995),Comedy,national lampoons senior trip
326,To Live (Huozhe) (1994),Drama,to live huozhe
327,Tank Girl (1995),Action|Comedy|Musical|Sci-Fi,tank girl
328,Tales From the Crypt Presents: Demon Knight (1995),Horror,tales from the crypt presents demon knight
329,Star Trek: Generations (1994),Action|Adventure|Sci-Fi,star trek generations
330,Tales from the Hood (1995),Comedy|Horror,tales from the hood
331,Tom & Viv (1994),Drama,tom  viv
332,Village of the Damned (1995),Horror|Sci-Fi,village of the damned
333,Tommy Boy (1995),Comedy,tommy boy
334,Vanya on 42nd Street (1994),Drama,vanya on 42nd street
335,"Underneath, The (1995)",Mystery|Thriller,underneath the
336,"Walking Dead, The (1995)",Drama|War,walking dead the
337,What's Eating Gilbert Grape (1993),Drama,whats eating gilbert grape
338,Virtuosity (1995),Sci-Fi|Thriller,virtuosity
339,While You Were Sleeping (1995),Comedy|Romance,while you were sleeping
340,"War, The (1994)",Adventure|Drama,war the
341,Double Happiness (1994),Drama,double happiness
342,Muriel's Wedding (1994),Comedy|Romance,muriels wedding
343,"Baby-Sitters Club, The (1995)",Children's,babysitters club the
344,Ace Ventura: Pet Detective (1994),Comedy,ace ventura pet detective
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama,adventures of priscilla queen of the desert the
346,Backbeat (1993),Drama|Musical,backbeat
347,Bitter Moon (1992),Drama,bitter moon
348,Bullets Over Broadway (1994),Comedy,bullets over broadway
349,Clear and Present Danger (1994),Action|Adventure|Thriller,clear and present danger
350,"Client, The (1994)",Drama|Mystery|Thriller,client the
351,"Corrina, Corrina (1994)",Comedy|Drama|Romance,corrina corrina
352,Crooklyn (1994),Comedy,crooklyn
353,"Crow, The (1994)",Action|Romance|Thriller,crow the
354,Cobb (1994),Drama,cobb
355,"Flintstones, The (1994)",Children's|Comedy,flintstones the
356,Forrest Gump (1994),Comedy|Romance|War,forrest gump
357,Four Weddings and a Funeral (1994),Comedy|Romance,four weddings and a funeral
358,Higher Learning (1995),Drama,higher learning
359,I Like It Like That (1994),Comedy|Drama|Romance,i like it like that
360,I Love Trouble (1994),Action|Comedy,i love trouble
361,It Could Happen to You (1994),Drama|Romance,it could happen to you
362,"Jungle Book, The (1994)",Adventure|Children's|Romance,jungle book the
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",Documentary,wonderful horrible life of leni riefenstahl the die macht der bilder
364,"Lion King, The (1994)",Animation|Children's|Musical,lion king the
365,Little Buddha (1993),Drama,little buddha
366,Wes Craven's New Nightmare (1994),Horror,wes cravens new nightmare
367,"Mask, The (1994)",Comedy|Crime|Fantasy,mask the
368,Maverick (1994),Action|Comedy|Western,maverick
369,Mrs. Parker and the Vicious Circle (1994),Drama,mrs parker and the vicious circle
370,Naked Gun 33 1/3: The Final Insult (1994),Comedy,naked gun 33 13 the final insult
371,"Paper, The (1994)",Comedy|Drama,paper the
372,Reality Bites (1994),Comedy|Drama,reality bites
373,Red Rock West (1992),Thriller,red rock west
374,Richie Rich (1994),Children's|Comedy,richie rich
375,Safe Passage (1994),Drama,safe passage
376,"River Wild, The (1994)",Action|Thriller,river wild the
377,Speed (1994),Action|Romance|Thriller,speed
378,Speechless (1994),Comedy|Romance,speechless
379,Timecop (1994),Action|Sci-Fi,timecop
380,True Lies (1994),Action|Adventure|Comedy|Romance,true lies
381,When a Man Loves a Woman (1994),Drama,when a man loves a woman
382,Wolf (1994),Drama|Horror,wolf
383,Wyatt Earp (1994),Western,wyatt earp
384,Bad Company (1995),Action,bad company
385,"Man of No Importance, A (1994)",Drama,man of no importance a
386,S.F.W. (1994),Drama,sfw
387,"Low Down Dirty Shame, A (1994)",Action|Comedy,low down dirty shame a
388,Boys Life (1995),Drama,boys life
389,"Colonel Chabert, Le (1994)",Drama|Romance|War,colonel chabert le
390,Faster Pussycat! Kill! Kill! (1965),Action|Comedy|Drama,faster pussycat kill kill
391,Jason's Lyric (1994),Crime|Drama,jasons lyric
392,"Secret Adventures of Tom Thumb, The (1993)",Adventure|Children's,secret adventures of tom thumb the
393,Street Fighter (1994),Action,street fighter
394,Coldblooded (1995),Action,coldblooded
395,Desert Winds (1995),Drama,desert winds
396,Fall Time (1995),Drama,fall time
397,"Fear, The (1995)",Horror,fear the
398,Frank and Ollie (1995),Documentary,frank and ollie
399,Girl in the Cadillac (1995),Drama,girl in the cadillac
400,Homage (1995),Drama,homage
401,Mirage (1995),Action|Thriller,mirage
402,Open Season (1996),Comedy,open season
403,Two Crimes (1995),Comedy|Crime|Drama,two crimes
404,Brother Minister: The Assassination of Malcolm X (1994),Documentary,brother minister the assassination of malcolm x
405,Highlander III: The Sorcerer (1994),Action|Sci-Fi,highlander iii the sorcerer
406,Federal Hill (1994),Drama,federal hill
407,In the Mouth of Madness (1995),Horror|Thriller,in the mouth of madness
408,8 Seconds (1994),Drama,8 seconds
409,Above the Rim (1994),Drama,above the rim
410,Addams Family Values (1993),Comedy,addams family values
411,You So Crazy (1994),Comedy,you so crazy
412,"Age of Innocence, The (1993)",Drama,age of innocence the
413,Airheads (1994),Comedy,airheads
414,"Air Up There, The (1994)",Comedy,air up there the
415,Another Stakeout (1993),Comedy|Thriller,another stakeout
416,Bad Girls (1994),Western,bad girls
417,Barcelona (1994),Comedy|Romance,barcelona
418,Being Human (1993),Drama,being human
419,"Beverly Hillbillies, The (1993)",Comedy,beverly hillbillies the
420,Beverly Hills Cop III (1994),Action|Comedy,beverly hills cop iii
421,Black Beauty (1994),Adventure|Children's,black beauty
422,Blink (1994),Thriller,blink
423,Blown Away (1994),Action|Thriller,blown away
424,Blue Chips (1994),Drama,blue chips
425,Blue Sky (1994),Drama|Romance,blue sky
426,Body Snatchers (1993),Horror|Sci-Fi|Thriller,body snatchers
427,Boxing Helena (1993),Mystery|Romance|Thriller,boxing helena
428,"Bronx Tale, A (1993)",Drama,bronx tale a
429,Cabin Boy (1994),Comedy,cabin boy
430,Calendar Girl (1993),Drama,calendar girl
431,Carlito's Way (1993),Crime|Drama,carlitos way
432,City Slickers II: The Legend of Curly's Gold (1994),Comedy|Western,city slickers ii the legend of curlys gold
433,Clean Slate (1994),Comedy,clean slate
434,Cliffhanger (1993),Action|Adventure|Crime,cliffhanger
435,Coneheads (1993),Comedy|Sci-Fi,coneheads
436,Color of Night (1994),Drama|Thriller,color of night
437,Cops and Robbersons (1994),Comedy,cops and robbersons
438,"Cowboy Way, The (1994)",Action|Comedy,cowboy way the
439,Dangerous Game (1993),Drama,dangerous game
440,Dave (1993),Comedy|Romance,dave
441,Dazed and Confused (1993),Comedy,dazed and confused
442,Demolition Man (1993),Action|Sci-Fi,demolition man
443,"Endless Summer 2, The (1994)",Documentary,endless summer 2 the
444,Even Cowgirls Get the Blues (1993),Comedy|Romance,even cowgirls get the blues
445,Fatal Instinct (1993),Comedy,fatal instinct
446,Farewell My Concubine (1993),Drama|Romance,farewell my concubine
447,"Favor, The (1994)",Comedy|Romance,favor the
448,Fearless (1993),Drama,fearless
449,Fear of a Black Hat (1993),Comedy,fear of a black hat
450,With Honors (1994),Comedy|Drama,with honors
451,Flesh and Bone (1993),Drama|Mystery|Romance,flesh and bone
452,Widows' Peak (1994),Drama,widows peak
453,For Love or Money (1993),Comedy,for love or money
454,"Firm, The (1993)",Drama|Thriller,firm the
455,Free Willy (1993),Adventure|Children's|Drama,free willy
456,Fresh (1994),Drama,fresh
457,"Fugitive, The (1993)",Action|Thriller,fugitive the
458,Geronimo: An American Legend (1993),Drama|Western,geronimo an american legend
459,"Getaway, The (1994)",Action,getaway the
460,Getting Even with Dad (1994),Comedy,getting even with dad
461,Go Fish (1994),Drama|Romance,go fish
462,"Good Man in Africa, A (1994)",Action|Adventure,good man in africa a
463,Guilty as Sin (1993),Crime|Drama|Thriller,guilty as sin
464,Hard Target (1993),Action|Adventure|Crime|Thriller,hard target
465,Heaven & Earth (1993),Action|Drama|War,heaven  earth
466,Hot Shots! Part Deux (1993),Action|Comedy|War,hot shots part deux
467,Live Nude Girls (1995),Comedy,live nude girls
468,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",Comedy|Romance,englishman who went up a hill but came down a mountain the
469,"House of the Spirits, The (1993)",Drama|Romance,house of the spirits the
470,House Party 3 (1994),Comedy,house party 3
471,"Hudsucker Proxy, The (1994)",Comedy|Romance,hudsucker proxy the
472,I'll Do Anything (1994),Comedy|Drama,ill do anything
473,In the Army Now (1994),Comedy|War,in the army now
474,In the Line of Fire (1993),Action|Thriller,in the line of fire
475,In the Name of the Father (1993),Drama,in the name of the father
476,"Inkwell, The (1994)",Comedy|Drama,inkwell the
477,What's Love Got to Do with It? (1993),Drama,whats love got to do with it
478,Jimmy Hollywood (1994),Comedy,jimmy hollywood
479,Judgment Night (1993),Action,judgment night
480,Jurassic Park (1993),Action|Adventure|Sci-Fi,jurassic park
481,Kalifornia (1993),Drama|Thriller,kalifornia
482,Killing Zoe (1994),Thriller,killing zoe
483,King of the Hill (1993),Drama,king of the hill
484,Lassie (1994),Adventure|Children's,lassie
485,Last Action Hero (1993),Action|Comedy,last action hero
486,Life with Mikey (1993),Comedy,life with mikey
487,Lightning Jack (1994),Comedy|Western,lightning jack
488,M. Butterfly (1993),Drama,m butterfly
489,Made in America (1993),Comedy,made in america
490,Malice (1993),Thriller,malice
491,"Man Without a Face, The (1993)",Drama,man without a face the
