title,genres,year,rating,language,clean_title,source,movieId
Mission: Impossible - Rogue Nation,"action,adventure",2015,7.2,Mixed,mission impossible  rogue nation,IMDB_Movies_Data.csv,3982.0
Subservience,"science fiction,horror,thriller",2024,6.658,Mixed,subservience,IMDB_Movies_Data.csv,3983.0
Demon City,"action,crime,fantasy,thriller",2025,7.034,Mixed,demon city,IMDB_Movies_Data.csv,3984.0
Pacific Rim,"action,science fiction,adventure",2013,6.911,Mixed,pacific rim,IMDB_Movies_Data.csv,3985.0
Through My Window,"romance,drama,comedy",2022,7.362,Mixed,through my window,IMDB_Movies_Data.csv,3986.0
Last Bullet,"action,crime,thriller,drama",2025,6.595,Mixed,last bullet,IMDB_Movies_Data.csv,3987.0
Despicable Me,"family,comedy,animation",2010,7.3,Mixed,despicable me,IMDB_Movies_Data.csv,3988.0
Rush Hour,"action,comedy,crime",1998,7.053,Mixed,rush hour,IMDB_Movies_Data.csv,2273.0
Songs from the Hole,"documentary,drama,music",2024,9.0,Mixed,songs from the hole,IMDB_Movies_Data.csv,3989.0
The Life List,"romance,comedy,drama",2025,6.964,Mixed,the life list,IMDB_Movies_Data.csv,3990.0
I'm Still a Superstar,"documentary,music",2025,5.7,Mixed,im still a superstar,IMDB_Movies_Data.csv,3991.0
Mission: Impossible III,"adventure,action,thriller",2006,6.749,Mixed,mission impossible iii,IMDB_Movies_Data.csv,3992.0
Mission: Impossible II,"adventure,action,thriller",2000,6.1,Mixed,mission impossible ii,IMDB_Movies_Data.csv,3993.0
Miller's Girl,"thriller,comedy,drama",2024,6.379,Mixed,millers girl,IMDB_Movies_Data.csv,3994.0
Purple Hearts,"romance,drama",2022,8.073,Mixed,purple hearts,IMDB_Movies_Data.csv,3995.0
Back in Action,"action,comedy",2025,6.5,Mixed,back in action,IMDB_Movies_Data.csv,3996.0
Carry-On,"thriller,action",2024,6.899,Mixed,carryon,IMDB_Movies_Data.csv,3997.0
Bad Influence,"thriller,drama,romance",2025,5.613,Mixed,bad influence,IMDB_Movies_Data.csv,3998.0
Penguins of Madagascar,"family,animation,adventure,comedy",2014,6.531,Mixed,penguins of madagascar,IMDB_Movies_Data.csv,3999.0
"Miraculous: Ladybug & Cat Noir, The Movie","animation,fantasy,action,romance,family",2023,7.6,Mixed,miraculous ladybug  cat noir the movie,IMDB_Movies_Data.csv,4000.0
My Hero Academia: You're Next,"animation,action,adventure,science fiction",2024,7.082,Mixed,my hero academia youre next,IMDB_Movies_Data.csv,4001.0
Drawing Closer,"romance,drama",2024,8.377,Mixed,drawing closer,IMDB_Movies_Data.csv,4002.0
Sing: Thriller,"animation,family,comedy,music",2024,7.221,Mixed,sing thriller,IMDB_Movies_Data.csv,4003.0
Despicable Me 2,"animation,comedy,family",2013,6.9,Mixed,despicable me 2,IMDB_Movies_Data.csv,4004.0
Den of Thieves 2: Pantera,"action,crime,thriller",2025,6.654,Mixed,den of thieves 2 pantera,IMDB_Movies_Data.csv,4005.0
The Electric State,"science fiction,adventure,action",2025,6.531,Mixed,the electric state,IMDB_Movies_Data.csv,4006.0
Megamind,"animation,action,comedy,family,science fiction",2010,7.006,Mixed,megamind,IMDB_Movies_Data.csv,4007.0
Paddington in Peru,"family,comedy,adventure",2024,6.888,Mixed,paddington in peru,IMDB_Movies_Data.csv,4008.0
20th Century Girl,"romance,drama",2022,8.174,Mixed,20th century girl,IMDB_Movies_Data.csv,4009.0
Jewel Thief - The Heist Begins,"action,thriller",2025,6.771,Mixed,jewel thief  the heist begins,IMDB_Movies_Data.csv,4010.0
Godzilla Minus One,"science fiction,horror,action",2023,7.6,Mixed,godzilla minus one,IMDB_Movies_Data.csv,4011.0
Now You See Me,"thriller,crime",2013,7.332,Mixed,now you see me,IMDB_Movies_Data.csv,4012.0
Dick Johnson Is Dead,documentaries,2020,0.0,Mixed,dick johnson is dead,netflix_titles.csv,4013.0
Blood & Water,"international tv shows, tv dramas, tv mysteries",2021,0.0,Mixed,blood  water,netflix_titles.csv,4014.0
Ganglands,"crime tv shows, international tv shows, tv action & adventure",2021,0.0,Mixed,ganglands,netflix_titles.csv,4015.0
Jailbirds New Orleans,"docuseries, reality tv",2021,0.0,Mixed,jailbirds new orleans,netflix_titles.csv,4016.0
Kota Factory,"international tv shows, romantic tv shows, tv comedies",2021,0.0,Mixed,kota factory,netflix_titles.csv,4017.0
Midnight Mass,"tv dramas, tv horror, tv mysteries",2021,0.0,Mixed,midnight mass,netflix_titles.csv,4018.0
My Little Pony: A New Generation,children & family movies,2021,0.0,Mixed,my little pony a new generation,netflix_titles.csv,4019.0
Sankofa,"dramas, independent movies, international movies",1993,0.0,Mixed,sankofa,netflix_titles.csv,4020.0
The Great British Baking Show,"british tv shows, reality tv",2021,0.0,Mixed,the great british baking show,netflix_titles.csv,4021.0
The Starling,"comedies, dramas",2021,0.0,Mixed,the starling,netflix_titles.csv,4022.0
"Vendetta: Truth, Lies and The Mafia","crime tv shows, docuseries, international tv shows",2021,0.0,Mixed,vendetta truth lies and the mafia,netflix_titles.csv,4023.0
Bangkok Breaking,"crime tv shows, international tv shows, tv action & adventure",2021,0.0,Mixed,bangkok breaking,netflix_titles.csv,4024.0
Je Suis Karl,"dramas, international movies",2021,0.0,Mixed,je suis karl,netflix_titles.csv,4025.0
Confessions of an Invisible Girl,"children & family movies, comedies",2021,0.0,Mixed,confessions of an invisible girl,netflix_titles.csv,4026.0
Crime Stories: India Detectives,"british tv shows, crime tv shows, docuseries",2021,0.0,Mixed,crime stories india detectives,netflix_titles.csv,4027.0
Dear White People,"tv comedies, tv dramas",2021,0.0,Mixed,dear white people,netflix_titles.csv,4028.0
Europe's Most Dangerous Man: Otto Skorzeny in Spain,"documentaries, international movies",2020,0.0,Mixed,europes most dangerous man otto skorzeny in spain,netflix_titles.csv,4029.0
Falsa identidad,"crime tv shows, spanish-language tv shows, tv dramas",2020,0.0,Mixed,falsa identidad,netflix_titles.csv,4030.0
Intrusion,thrillers,2021,0.0,Mixed,intrusion,netflix_titles.csv,4031.0
Jaguar,"international tv shows, spanish-language tv shows, tv action & adventure",2021,0.0,Mixed,jaguar,netflix_titles.csv,4032.0
Monsters Inside: The 24 Faces of Billy Milligan,"crime tv shows, docuseries, international tv shows",2021,0.0,Mixed,monsters inside the 24 faces of billy milligan,netflix_titles.csv,4033.0
Resurrection: Ertugrul,"international tv shows, tv action & adventure, tv dramas",2018,0.0,Mixed,resurrection ertugrul,netflix_titles.csv,4034.0
Avvai Shanmughi,"comedies, international movies",1996,0.0,Mixed,avvai shanmughi,netflix_titles.csv,4035.0
Go! Go! Cory Carson: Chrissy Takes the Wheel,children & family movies,2021,0.0,Mixed,go go cory carson chrissy takes the wheel,netflix_titles.csv,4036.0
Jeans,"comedies, international movies, romantic movies",1998,0.0,Mixed,jeans,netflix_titles.csv,4037.0
Love on the Spectrum,"docuseries, international tv shows, reality tv",2021,0.0,Mixed,love on the spectrum,netflix_titles.csv,4038.0
Minsara Kanavu,"comedies, international movies, music & musicals",1997,0.0,Mixed,minsara kanavu,netflix_titles.csv,4039.0
Grown Ups,comedies,2010,0.0,Mixed,grown ups,netflix_titles.csv,4040.0
Dark Skies,"horror movies, sci-fi & fantasy",2013,0.0,Mixed,dark skies,netflix_titles.csv,4041.0
Paranoia,thrillers,2013,0.0,Mixed,paranoia,netflix_titles.csv,4042.0
Ankahi Kahaniya,"dramas, independent movies, international movies",2021,0.0,Mixed,ankahi kahaniya,netflix_titles.csv,4043.0
Chicago Party Aunt,tv comedies,2021,0.0,Mixed,chicago party aunt,netflix_titles.csv,4044.0
Sex Education,"british tv shows, international tv shows, tv comedies",2020,0.0,Mixed,sex education,netflix_titles.csv,4045.0
Squid Game,"international tv shows, tv dramas, tv thrillers",2021,0.0,Mixed,squid game,netflix_titles.csv,4046.0
Tayo and Little Wizards,kids' tv,2020,0.0,Mixed,tayo and little wizards,netflix_titles.csv,4047.0
The Father Who Moves Mountains,"dramas, international movies, thrillers",2021,0.0,Mixed,the father who moves mountains,netflix_titles.csv,4048.0
The Stronghold,"action & adventure, dramas, international movies",2021,0.0,Mixed,the stronghold,netflix_titles.csv,4049.0
Angry Birds,"kids' tv, tv comedies",2018,0.0,Mixed,angry birds,netflix_titles.csv,4050.0
Birth of the Dragon,"action & adventure, dramas",2017,0.0,Mixed,birth of the dragon,netflix_titles.csv,4051.0
Chhota Bheem,kids' tv,2021,0.0,Mixed,chhota bheem,netflix_titles.csv,4052.0
He-Man and the Masters of the Universe,"kids' tv, tv sci-fi & fantasy",2021,0.0,Mixed,heman and the masters of the universe,netflix_titles.csv,4053.0
Jaws,"action & adventure, classic movies, dramas",1975,0.0,Mixed,jaws,netflix_titles.csv,1387.0
Jaws 2,"dramas, horror movies, thrillers",1978,0.0,Mixed,jaws 2,netflix_titles.csv,1388.0
Jaws 3,"action & adventure, horror movies, thrillers",1983,0.0,Mixed,jaws 3,netflix_titles.csv,4054.0
Jaws: The Revenge,"action & adventure, horror movies, thrillers",1987,0.0,Mixed,jaws the revenge,netflix_titles.csv,4055.0
My Heroes Were Cowboys,documentaries,2021,0.0,Mixed,my heroes were cowboys,netflix_titles.csv,4056.0
Safe House,action & adventure,2012,0.0,Mixed,safe house,netflix_titles.csv,4057.0
The Smart Money Woman,"international tv shows, romantic tv shows, tv comedies",2020,0.0,Mixed,the smart money woman,netflix_titles.csv,4058.0
Training Day,"dramas, thrillers",2001,0.0,Mixed,training day,netflix_titles.csv,4059.0
Castle and Castle,"international tv shows, tv dramas",2021,0.0,Mixed,castle and castle,netflix_titles.csv,4060.0
Dharmakshetra,"international tv shows, tv dramas, tv sci-fi & fantasy",2014,0.0,Mixed,dharmakshetra,netflix_titles.csv,4061.0
InuYasha the Movie 3: Swords of an Honorable Ruler,"action & adventure, anime features, international movies",2003,0.0,Mixed,inuyasha the movie 3 swords of an honorable ruler,netflix_titles.csv,4062.0
InuYasha the Movie 4: Fire on the Mystic Island,"action & adventure, anime features, international movies",2004,0.0,Mixed,inuyasha the movie 4 fire on the mystic island,netflix_titles.csv,4063.0
InuYasha the Movie: Affections Touching Across Time,"action & adventure, anime features, international movies",2001,0.0,Mixed,inuyasha the movie affections touching across time,netflix_titles.csv,4064.0
Nailed It,reality tv,2021,0.0,Mixed,nailed it,netflix_titles.csv,4065.0
Naruto Shippuden the Movie: Blood Prison,"action & adventure, anime features, international movies",2011,0.0,Mixed,naruto shippuden the movie blood prison,netflix_titles.csv,4066.0
Naruto Shippûden the Movie: Bonds,"action & adventure, anime features, international movies",2008,0.0,Mixed,naruto shippden the movie bonds,netflix_titles.csv,4067.0
Naruto Shippûden the Movie: The Will of Fire,"action & adventure, anime features, international movies",2009,0.0,Mixed,naruto shippden the movie the will of fire,netflix_titles.csv,4068.0
Naruto Shippuden: The Movie,"action & adventure, anime features, international movies",2007,0.0,Mixed,naruto shippuden the movie,netflix_titles.csv,4069.0
Naruto Shippuden: The Movie: The Lost Tower,"action & adventure, anime features, international movies",2010,0.0,Mixed,naruto shippuden the movie the lost tower,netflix_titles.csv,4070.0
Naruto the Movie 2: Legend of the Stone of Gelel,"action & adventure, anime features, international movies",2005,0.0,Mixed,naruto the movie 2 legend of the stone of gelel,netflix_titles.csv,4071.0
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,"action & adventure, anime features, international movies",2006,0.0,Mixed,naruto the movie 3 guardians of the crescent moon kingdom,netflix_titles.csv,4072.0
Naruto the Movie: Ninja Clash in the Land of Snow,"action & adventure, anime features, international movies",2004,0.0,Mixed,naruto the movie ninja clash in the land of snow,netflix_titles.csv,4073.0
Nightbooks,children & family movies,2021,0.0,Mixed,nightbooks,netflix_titles.csv,4074.0
Numberblocks,kids' tv,2021,0.0,Mixed,numberblocks,netflix_titles.csv,4075.0
Raja Rasoi Aur Anya Kahaniyan,"docuseries, international tv shows",2014,0.0,Mixed,raja rasoi aur anya kahaniyan,netflix_titles.csv,4076.0
Saved by the Bell,"kids' tv, tv comedies",1994,0.0,Mixed,saved by the bell,netflix_titles.csv,4077.0
Schumacher,"documentaries, international movies, sports movies",2021,0.0,Mixed,schumacher,netflix_titles.csv,4078.0
Stories by Rabindranath Tagore,"international tv shows, tv dramas",2015,0.0,Mixed,stories by rabindranath tagore,netflix_titles.csv,4079.0
Too Hot To Handle: Latino,"international tv shows, reality tv, romantic tv shows",2021,0.0,Mixed,too hot to handle latino,netflix_titles.csv,4080.0
A StoryBots Space Adventure,children & family movies,2021,0.0,Mixed,a storybots space adventure,netflix_titles.csv,4081.0
Jack Whitehall: Travels with My Father,"british tv shows, docuseries, international tv shows",2021,0.0,Mixed,jack whitehall travels with my father,netflix_titles.csv,4082.0
King of Boys,"dramas, international movies",2018,0.0,Mixed,king of boys,netflix_titles.csv,4083.0
The World's Most Amazing Vacation Rentals,reality tv,2021,0.0,Mixed,the worlds most amazing vacation rentals,netflix_titles.csv,4084.0
You vs. Wild: Out Cold,children & family movies,2021,0.0,Mixed,you vs wild out cold,netflix_titles.csv,4085.0
Yowamushi Pedal,"anime series, international tv shows",2013,0.0,Mixed,yowamushi pedal,netflix_titles.csv,4086.0
Little Singham - Black Shadow,"children & family movies, comedies",2021,0.0,Mixed,little singham  black shadow,netflix_titles.csv,4087.0
Tughlaq Durbar,"comedies, dramas, international movies",2020,0.0,Mixed,tughlaq durbar,netflix_titles.csv,4088.0
Tughlaq Durbar (Telugu),"comedies, dramas, international movies",2021,0.0,Mixed,tughlaq durbar telugu,netflix_titles.csv,4089.0
Firedrake the Silver Dragon,children & family movies,2021,0.0,Mixed,firedrake the silver dragon,netflix_titles.csv,4090.0
Kate,action & adventure,2021,0.0,Mixed,kate,netflix_titles.csv,4091.0
Lucifer,"crime tv shows, tv comedies, tv dramas",2021,0.0,Mixed,lucifer,netflix_titles.csv,4092.0
Metal Shop Masters,reality tv,2021,0.0,Mixed,metal shop masters,netflix_titles.csv,4093.0
Omo Ghetto: the Saga,"action & adventure, comedies, dramas",2020,0.0,Mixed,omo ghetto the saga,netflix_titles.csv,4094.0
Pokémon Master Journeys: The Series,"anime series, kids' tv",2021,0.0,Mixed,pokmon master journeys the series,netflix_titles.csv,4095.0
Prey,"international movies, thrillers",2021,0.0,Mixed,prey,netflix_titles.csv,4096.0
Titipo Titipo,"kids' tv, korean tv shows",2019,0.0,Mixed,titipo titipo,netflix_titles.csv,4097.0
Blood Brothers: Malcolm X & Muhammad Ali,"documentaries, sports movies",2021,0.0,Mixed,blood brothers malcolm x  muhammad ali,netflix_titles.csv,4098.0
Mighty Raju,kids' tv,2017,0.0,Mixed,mighty raju,netflix_titles.csv,4099.0
Paradise Hills,"sci-fi & fantasy, thrillers",2019,0.0,Mixed,paradise hills,netflix_titles.csv,4100.0
The Women and the Murderer,"documentaries, international movies",2021,0.0,Mixed,the women and the murderer,netflix_titles.csv,4101.0
Into the Night,"international tv shows, tv dramas, tv mysteries",2021,0.0,Mixed,into the night,netflix_titles.csv,4102.0
JJ+E,"dramas, international movies, romantic movies",2021,0.0,Mixed,jje,netflix_titles.csv,4103.0
Show Dogs,"children & family movies, comedies",2018,0.0,Mixed,show dogs,netflix_titles.csv,4104.0
The Circle,reality tv,2021,0.0,Mixed,the circle,netflix_titles.csv,4105.0
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,"documentaries, music & musicals",2018,0.0,Mixed,if i leave here tomorrow a film about lynyrd skynyrd,netflix_titles.csv,4106.0
Kid Cosmic,"kids' tv, tv comedies, tv sci-fi & fantasy",2021,0.0,Mixed,kid cosmic,netflix_titles.csv,4107.0
Octonauts: Above & Beyond,"british tv shows, kids' tv",2021,0.0,Mixed,octonauts above  beyond,netflix_titles.csv,4108.0
On the Verge,"tv comedies, tv dramas",2021,0.0,Mixed,on the verge,netflix_titles.csv,4109.0
Tobot Galaxy Detectives,kids' tv,2019,0.0,Mixed,tobot galaxy detectives,netflix_titles.csv,4110.0
Untold: Breaking Point,"documentaries, sports movies",2021,0.0,Mixed,untold breaking point,netflix_titles.csv,4111.0
Countdown: Inspiration4 Mission to Space,"docuseries, science & nature tv",2021,0.0,Mixed,countdown inspiration4 mission to space,netflix_titles.csv,4112.0
Shadow Parties,"dramas, international movies, thrillers",2020,0.0,Mixed,shadow parties,netflix_titles.csv,4113.0
Tayo the Little Bus,"kids' tv, korean tv shows",2016,0.0,Mixed,tayo the little bus,netflix_titles.csv,4114.0
Angamaly Diaries,"action & adventure, comedies, dramas",2017,0.0,Mixed,angamaly diaries,netflix_titles.csv,4115.0
Bunk'd,"kids' tv, tv comedies",2021,0.0,Mixed,bunkd,netflix_titles.csv,4116.0
A Champion Heart,"children & family movies, dramas",2018,0.0,Mixed,a champion heart,netflix_titles.csv,4117.0
Dive Club,"kids' tv, tv dramas, teen tv shows",2021,0.0,Mixed,dive club,netflix_titles.csv,4118.0
La casa de papel,"crime tv shows, international tv shows, spanish-language tv shows",2021,0.0,Mixed,la casa de papel,netflix_titles.csv,4119.0
Money Heist: From Tokyo to Berlin,"docuseries, international tv shows, spanish-language tv shows",2021,0.0,Mixed,money heist from tokyo to berlin,netflix_titles.csv,4120.0
Sharkdog,kids' tv,2021,0.0,Mixed,sharkdog,netflix_titles.csv,4121.0
Worth,dramas,2021,0.0,Mixed,worth,netflix_titles.csv,4122.0
Afterlife of the Party,"comedies, romantic movies",2021,0.0,Mixed,afterlife of the party,netflix_titles.csv,4123.0
Anjaam,"dramas, international movies, thrillers",1994,0.0,Mixed,anjaam,netflix_titles.csv,4124.0
Bright Star,"dramas, romantic movies",2009,0.0,Mixed,bright star,netflix_titles.csv,4125.0
Dhanak,"comedies, dramas, independent movies",2015,0.0,Mixed,dhanak,netflix_titles.csv,4126.0
Final Account,documentaries,2021,0.0,Mixed,final account,netflix_titles.csv,4127.0
Gurgaon,"dramas, international movies, thrillers",2017,0.0,Mixed,gurgaon,netflix_titles.csv,4128.0
Here and There,"dramas, international movies, romantic movies",2020,0.0,Mixed,here and there,netflix_titles.csv,4129.0
Heroes of Goo Jit Zu,"kids' tv, tv comedies",2021,0.0,Mixed,heroes of goo jit zu,netflix_titles.csv,4130.0
Hotel Del Luna,"international tv shows, romantic tv shows, tv comedies",2019,0.0,Mixed,hotel del luna,netflix_titles.csv,4131.0
In the Cut,thrillers,2003,0.0,Mixed,in the cut,netflix_titles.csv,4132.0
Luv Kushh,kids' tv,2012,0.0,Mixed,luv kushh,netflix_titles.csv,4133.0
Pororo - The Little Penguin,"kids' tv, korean tv shows",2013,0.0,Mixed,pororo  the little penguin,netflix_titles.csv,4134.0
Q-Force,"crime tv shows, tv action & adventure, tv comedies",2021,0.0,Mixed,qforce,netflix_titles.csv,4135.0
Shikara,"dramas, international movies, romantic movies",2020,0.0,Mixed,shikara,netflix_titles.csv,4136.0
A Cinderella Story,"children & family movies, comedies",2004,0.0,Mixed,a cinderella story,netflix_titles.csv,4137.0
Agatha Christie's Crooked House,"dramas, international movies, thrillers",2017,0.0,Mixed,agatha christies crooked house,netflix_titles.csv,4138.0
An Unfinished Life,dramas,2005,0.0,Mixed,an unfinished life,netflix_titles.csv,4139.0
Barbie Big City Big Dreams,"children & family movies, music & musicals",2021,0.0,Mixed,barbie big city big dreams,netflix_titles.csv,4140.0
Blade Runner: The Final Cut,"action & adventure, classic movies, cult movies",1982,0.0,Mixed,blade runner the final cut,netflix_titles.csv,4141.0
Brave Animated Series,"international tv shows, tv action & adventure, tv comedies",2021,0.0,Mixed,brave animated series,netflix_titles.csv,4142.0
Chappie,"action & adventure, sci-fi & fantasy",2015,0.0,Mixed,chappie,netflix_titles.csv,4143.0
Clear and Present Danger,"action & adventure, dramas",1994,0.0,Mixed,clear and present danger,netflix_titles.csv,349.0
Cliffhanger,action & adventure,1993,0.0,Mixed,cliffhanger,netflix_titles.csv,434.0
Cold Mountain,"dramas, romantic movies",2003,0.0,Mixed,cold mountain,netflix_titles.csv,4144.0
Crocodile Dundee in Los Angeles,"action & adventure, comedies",2001,0.0,Mixed,crocodile dundee in los angeles,netflix_titles.csv,4145.0
Dear John,"dramas, romantic movies",2010,0.0,Mixed,dear john,netflix_titles.csv,4146.0
Do the Right Thing,"classic movies, comedies, dramas",1989,0.0,Mixed,do the right thing,netflix_titles.csv,3424.0
"El patrón, radiografía de un crimen","dramas, international movies, thrillers",2014,0.0,Mixed,el patrn radiografa de un crimen,netflix_titles.csv,4147.0
Extraction,action & adventure,2015,0.0,Mixed,extraction,netflix_titles.csv,4148.0
Freedom Writers,dramas,2007,0.0,Mixed,freedom writers,netflix_titles.csv,4149.0
Green Lantern,"action & adventure, sci-fi & fantasy",2011,0.0,Mixed,green lantern,netflix_titles.csv,4150.0
House Party,"comedies, cult movies",1990,0.0,Mixed,house party,netflix_titles.csv,3773.0
House Party 2,"comedies, cult movies, music & musicals",1991,0.0,Mixed,house party 2,netflix_titles.csv,3774.0
House Party 3,"comedies, music & musicals",1994,0.0,Mixed,house party 3,netflix_titles.csv,470.0
How to Be a Cowboy,reality tv,2021,0.0,Mixed,how to be a cowboy,netflix_titles.csv,4151.0
HQ Barbers,tv shows,2020,0.0,Mixed,hq barbers,netflix_titles.csv,4152.0
I Got the Hook Up,"action & adventure, comedies",1998,0.0,Mixed,i got the hook up,netflix_titles.csv,1886.0
In Too Deep,thrillers,1999,0.0,Mixed,in too deep,netflix_titles.csv,2812.0
Initial D,"action & adventure, international movies",2005,0.0,Mixed,initial d,netflix_titles.csv,4153.0
Janoskians: Untold and Untrue,comedies,2016,0.0,Mixed,janoskians untold and untrue,netflix_titles.csv,4154.0
Kid-E-Cats,kids' tv,2016,0.0,Mixed,kidecats,netflix_titles.csv,4155.0
Kuroko's Basketball,"anime series, international tv shows, teen tv shows",2015,0.0,Mixed,kurokos basketball,netflix_titles.csv,4156.0
Labyrinth,"action & adventure, children & family movies, cult movies",1986,0.0,Mixed,labyrinth,netflix_titles.csv,1967.0
Letters to Juliet,"comedies, dramas, romantic movies",2010,0.0,Mixed,letters to juliet,netflix_titles.csv,4157.0
Level 16,"sci-fi & fantasy, thrillers",2018,0.0,Mixed,level 16,netflix_titles.csv,4158.0
Love Don't Cost a Thing,"comedies, romantic movies",2003,0.0,Mixed,love dont cost a thing,netflix_titles.csv,4159.0
Major Dad,tv comedies,1992,0.0,Mixed,major dad,netflix_titles.csv,4160.0
Mars Attacks!,"comedies, cult movies, sci-fi & fantasy",1996,0.0,Mixed,mars attacks,netflix_titles.csv,1391.0
Marshall,dramas,2017,0.0,Mixed,marshall,netflix_titles.csv,4161.0
My Boss's Daughter,"comedies, romantic movies",2003,0.0,Mixed,my bosss daughter,netflix_titles.csv,4162.0
Mystery Men,"action & adventure, comedies",1999,0.0,Mixed,mystery men,netflix_titles.csv,2723.0
Oldsters,"crime tv shows, international tv shows, spanish-language tv shows",2019,0.0,Mixed,oldsters,netflix_titles.csv,4163.0
Once Upon a Time in America,"classic movies, dramas",1984,0.0,Mixed,once upon a time in america,netflix_titles.csv,1227.0
Open Season 2,"children & family movies, comedies",2008,0.0,Mixed,open season 2,netflix_titles.csv,4164.0
Osmosis Jones,"action & adventure, children & family movies, comedies",2001,0.0,Mixed,osmosis jones,netflix_titles.csv,4165.0
Poseidon,"action & adventure, dramas",2006,0.0,Mixed,poseidon,netflix_titles.csv,4166.0
Rhyme & Reason,"documentaries, music & musicals",1997,0.0,Mixed,rhyme  reason,netflix_titles.csv,1470.0
Same Kind of Different as Me,"dramas, faith & spirituality",2017,0.0,Mixed,same kind of different as me,netflix_titles.csv,4167.0
School of Rock,"comedies, music & musicals",2003,0.0,Mixed,school of rock,netflix_titles.csv,4168.0
Snervous Tyler Oakley,"documentaries, lgbtq movies",2015,0.0,Mixed,snervous tyler oakley,netflix_titles.csv,4169.0
Tears of the Sun,"action & adventure, dramas",2003,0.0,Mixed,tears of the sun,netflix_titles.csv,4170.0
The Blue Lagoon,"dramas, romantic movies",1980,0.0,Mixed,the blue lagoon,netflix_titles.csv,4171.0
